State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
New Mexico,174,415,0,0,0,239,72,40,188,124,16,105,116,4,8,3,2,1,0
Ohio,124,510,0,0,0,193,97,32,89,99,7,172,104,7,15,3,4,1,0
Rhode Island,190,415,0,1,26,116,71,19,145,88,12,175,103,7,9,3,2,1,0
Hawaii,101,510,0,0,0,93,127,15,150,104,12,241,116,10,10,2,2,1,0
Wyoming,185,415,1,1,30,154,114,26,118,106,10,258,105,11,12,3,3,2,0
New York,68,415,0,1,29,239,82,40,203,105,17,167,70,7,9,6,2,0,0
Kansas,117,510,0,1,25,216,140,36,224,69,19,267,112,12,11,4,3,0,0
Louisiana,118,408,0,0,0,187,97,31,177,89,15,233,97,10,12,6,3,1,0
Pennsylvania,124,415,0,0,0,167,119,28,233,143,19,109,115,4,10,5,2,0,0
Nevada,22,510,0,0,0,160,108,27,218,88,18,192,115,8,12,4,3,1,0
Minnesota,75,415,0,0,0,143,92,24,209,142,17,173,96,7,11,9,3,1,0
Maine,177,415,0,0,0,232,106,39,175,97,14,212,77,9,12,7,3,2,0
New Hampshire,110,408,0,0,0,162,81,27,247,89,21,155,99,7,8,8,2,0,0
Minnesota,158,408,0,0,0,209,112,35,221,82,18,210,93,9,8,3,2,1,0
Ohio,114,415,0,0,0,191,88,32,175,78,14,220,118,9,0,0,0,0,0
North Carolina,64,408,0,1,19,291,150,49,226,123,19,219,67,9,7,2,2,1,0
Kentucky,111,415,0,0,0,255,97,43,204,129,17,171,84,7,12,5,3,3,0
Montana,60,408,0,0,0,252,97,42,221,121,18,109,100,4,12,4,3,2,0
New Jersey,113,408,0,0,0,132,72,22,247,107,21,246,123,11,6,6,1,3,0
Florida,109,408,0,0,0,217,115,36,207,142,17,268,106,12,8,4,2,1,0
Indiana,105,510,0,1,42,101,79,17,223,97,18,241,77,10,12,2,3,0,0
Delaware,85,510,0,0,0,211,100,35,184,88,15,164,131,7,13,4,3,2,0
Alabama,131,510,0,0,0,153,86,26,198,81,16,164,83,7,10,3,2,0,0
Maine,59,510,0,0,0,166,95,28,239,87,20,123,108,5,10,3,2,2,0
South Dakota,148,408,0,0,0,185,87,31,170,96,14,165,104,7,9,13,2,1,0
Idaho,106,510,0,0,0,274,120,46,198,82,16,160,62,7,6,3,1,1,0
Kentucky,57,415,0,1,29,279,121,47,223,109,18,251,94,11,13,2,3,1,0
North Dakota,98,510,0,0,0,187,127,31,195,88,16,181,129,8,5,4,1,1,0
Hawaii,157,415,0,0,0,276,95,46,165,119,14,151,79,6,2,4,0,3,0
Wisconsin,116,415,0,1,35,200,104,34,272,89,23,214,100,9,8,4,2,1,0
West Virginia,30,510,0,0,0,162,96,27,244,122,20,180,89,8,9,4,2,2,0
New Jersey,111,510,0,0,0,176,128,30,102,56,8,213,84,9,10,2,2,4,1
Kansas,52,415,0,0,0,165,78,28,205,89,17,213,124,9,12,6,3,0,0
New Jersey,135,510,0,1,28,201,100,34,246,117,20,154,131,6,12,4,3,2,1
North Carolina,86,510,0,0,0,190,115,32,179,130,15,258,89,11,10,5,2,3,0
Wyoming,151,510,0,0,0,235,104,40,80,91,6,212,116,9,5,2,1,3,0
New York,117,415,0,0,0,144,115,24,258,66,22,253,113,11,7,9,2,2,0
Idaho,82,408,0,0,0,101,93,17,155,104,13,304,93,13,13,2,3,0,0
Tennessee,108,408,0,1,15,165,85,28,267,93,22,250,114,11,10,4,2,1,0
Ohio,98,408,0,0,0,165,129,28,202,113,17,172,94,7,12,7,3,1,1
Massachusetts,47,415,0,0,0,155,116,26,188,85,16,247,73,11,12,4,3,3,0
Oklahoma,189,415,0,0,0,208,106,35,236,123,20,179,120,8,11,5,3,3,0
Nebraska,159,415,0,0,0,189,105,32,246,147,20,242,106,10,10,5,2,1,1
Virginia,11,408,0,1,24,131,98,22,230,111,19,283,87,12,10,3,2,2,0
Montana,111,408,0,0,0,142,75,24,122,106,10,229,94,10,12,9,3,2,0
Vermont,99,408,0,1,19,87,103,14,223,86,18,182,112,8,7,4,1,2,0
Virginia,114,415,1,1,31,174,104,29,224,92,19,116,91,5,12,10,3,2,0
Alabama,71,415,0,0,0,103,103,17,138,79,11,164,98,7,9,2,2,2,0
Alabama,100,408,0,1,25,246,94,41,141,112,12,189,109,8,13,5,3,1,0
West Virginia,83,415,0,1,37,78,109,13,210,101,17,179,102,8,11,4,3,1,0
Nevada,64,408,0,0,0,148,73,25,164,101,14,216,125,9,12,2,3,5,1
Tennessee,105,408,0,0,0,206,84,35,256,138,21,117,91,5,9,3,2,1,0
Idaho,144,415,0,1,33,251,87,42,197,118,16,209,97,9,12,3,3,2,0
Wyoming,106,415,1,1,26,270,111,45,215,90,18,254,133,11,14,7,3,1,1
Texas,19,510,0,1,34,156,97,26,224,97,19,260,135,11,11,1,3,1,0
Massachusetts,46,408,0,0,0,139,81,23,223,113,19,173,77,7,13,6,3,1,0
Illinois,127,510,0,0,0,220,108,37,188,124,16,172,113,7,11,3,3,2,0
Louisiana,9,415,0,1,39,214,108,36,169,115,14,189,117,8,10,3,2,1,0
Colorado,157,415,0,0,0,196,74,33,213,96,18,196,81,8,7,6,2,1,0
Utah,105,415,0,0,0,106,71,18,240,83,20,147,114,6,5,4,1,6,1
Idaho,31,415,0,0,0,177,129,30,152,105,12,162,92,7,5,2,1,0,0
Minnesota,95,408,0,1,32,262,123,44,165,82,14,194,57,8,10,5,2,0,0
Georgia,132,415,0,0,0,193,106,32,128,94,10,162,119,7,11,4,3,5,1
Hawaii,119,408,0,1,24,217,94,36,138,52,11,139,85,6,11,4,3,0,0
Alabama,16,408,0,0,0,209,89,35,172,85,14,94,102,4,8,4,2,1,0
Connecticut,99,408,0,0,0,95,105,16,207,101,17,136,117,6,5,5,1,1,0
Colorado,76,408,0,1,26,214,110,36,205,87,17,134,140,6,8,2,2,1,0
Kansas,167,415,0,0,0,131,120,22,211,96,17,168,97,7,11,4,3,4,1
New Jersey,129,415,0,0,0,168,117,28,217,129,18,81,100,3,11,7,3,1,0
Florida,116,408,0,0,0,146,123,24,176,113,15,212,102,9,7,5,2,1,0
California,60,415,1,0,0,183,110,31,206,93,17,203,119,9,11,6,3,1,0
Texas,47,408,0,1,28,112,70,19,154,106,13,166,105,7,10,2,2,0,0
Minnesota,40,510,1,0,0,170,55,29,179,108,15,281,89,12,8,9,2,3,0
Alaska,173,510,0,0,0,172,78,29,142,91,12,102,63,4,10,2,2,0,0
Oregon,157,510,0,1,30,194,107,33,243,108,20,322,114,14,7,5,1,1,0
Mississippi,66,408,0,1,32,187,117,31,129,90,11,132,113,5,12,3,3,2,0
Vermont,50,415,1,1,26,307,94,52,289,78,24,174,109,7,8,3,2,0,0
Utah,72,415,0,0,0,118,106,20,167,136,14,214,106,9,12,3,3,3,0
Kansas,130,510,0,0,0,154,95,26,205,106,17,233,75,10,12,1,3,1,0
Nevada,143,408,0,0,0,155,101,26,213,89,18,237,61,10,7,11,2,1,0
Texas,32,408,0,0,0,157,88,26,180,132,15,132,102,5,12,3,3,1,0
Massachusetts,166,415,0,0,0,203,81,34,167,110,14,132,124,5,9,5,2,2,0
California,72,408,0,1,39,92,98,15,271,115,23,167,83,7,5,7,1,1,0
Iowa,134,415,0,1,32,216,78,36,102,111,8,174,83,7,8,2,2,0,0
New Hampshire,13,415,0,0,0,193,89,32,194,90,16,186,104,8,9,2,2,4,0
Georgia,90,415,0,0,0,113,108,19,189,63,16,271,124,12,14,4,3,3,0
Wisconsin,111,415,0,1,36,166,54,28,238,109,20,108,92,4,11,2,3,3,0
Colorado,101,408,0,1,23,262,101,44,157,80,13,129,100,5,7,14,1,1,0
South Carolina,72,415,0,0,0,207,92,35,195,110,16,184,124,8,13,4,3,0,0
Michigan,67,510,0,1,35,245,89,41,148,102,12,274,136,12,7,6,2,1,0
Maryland,172,408,0,0,0,287,108,48,178,125,15,153,98,6,14,2,3,3,1
Indiana,154,510,0,1,32,192,82,32,165,134,14,205,74,9,9,1,2,2,0
Maine,69,510,0,0,0,194,122,33,242,81,20,215,80,9,9,3,2,2,0
District of Columbia,123,415,0,0,0,211,92,35,217,102,18,214,104,9,9,7,2,3,0
Tennessee,130,415,0,1,12,141,92,24,228,102,19,195,101,8,8,5,2,0,0
Florida,142,415,0,1,26,220,94,37,239,126,20,254,109,11,5,9,1,2,0
Hawaii,87,408,0,1,28,143,106,24,223,147,19,175,69,7,11,5,3,0,0
Tennessee,146,408,1,0,0,160,63,27,208,112,17,177,98,7,9,3,2,2,0
Maryland,88,415,1,0,0,235,98,39,251,79,21,285,76,12,7,2,1,4,1
Vermont,48,510,0,0,0,188,63,32,165,89,14,205,71,9,13,2,3,1,0
Oregon,135,415,0,0,0,194,97,33,235,118,20,174,126,7,11,3,2,1,0
Indiana,100,510,0,0,0,247,117,42,130,95,11,134,125,6,6,2,1,1,0
Missouri,98,415,0,0,0,221,80,37,213,104,18,291,89,13,11,3,3,4,0
Florida,75,510,0,1,26,118,86,20,213,118,18,132,99,5,13,3,3,2,0
District of Columbia,180,415,0,1,33,231,78,39,232,79,19,206,121,9,7,4,2,1,0
Ohio,119,415,0,1,35,217,92,36,220,134,18,249,93,11,8,5,2,2,0
Louisiana,155,408,0,1,39,183,106,31,205,101,17,263,90,11,5,7,1,1,0
Illinois,78,415,1,0,0,236,141,40,265,101,22,152,77,6,9,2,2,1,1
New Jersey,153,415,0,0,0,193,90,32,195,121,16,182,108,8,8,3,2,1,0
Nebraska,154,415,0,0,0,191,93,32,205,119,17,205,121,9,10,3,2,3,0
West Virginia,48,408,0,0,0,275,67,46,180,108,15,159,110,7,7,2,2,1,0
North Dakota,94,408,0,0,0,174,85,29,241,114,20,207,94,9,7,1,2,1,0
Utah,139,415,0,0,0,165,132,28,249,86,21,170,128,7,12,8,3,1,0
Mississippi,126,415,0,0,0,228,102,38,168,99,14,223,100,10,11,4,3,1,0
Minnesota,122,415,0,0,0,107,88,18,235,109,20,228,119,10,9,3,2,2,0
Kansas,131,415,0,1,28,249,87,42,227,138,19,239,92,10,7,3,2,3,0
Kansas,36,510,0,0,0,178,83,30,213,103,18,198,119,8,10,5,2,1,0
Nevada,180,510,0,0,0,139,96,23,224,64,19,170,118,7,15,5,4,2,0
Montana,25,415,0,0,0,134,98,22,202,109,17,195,100,8,12,5,3,2,0
Alaska,120,415,0,0,0,178,97,30,168,113,14,120,93,5,9,9,2,1,0
Arkansas,109,510,0,0,0,170,101,29,240,82,20,119,112,5,11,4,3,2,0
Louisiana,162,510,0,1,33,184,139,31,183,78,15,127,106,5,12,6,3,0,0
Kansas,124,510,0,1,37,161,109,27,204,79,17,231,87,10,8,4,2,1,0
Oregon,177,408,0,0,0,84,77,14,257,109,21,210,66,9,7,5,2,2,0
Wisconsin,91,510,0,0,0,217,71,37,230,116,19,232,110,10,10,2,2,1,0
Colorado,105,408,0,0,0,270,98,46,226,110,19,178,60,8,8,5,2,0,1
Kansas,24,510,0,0,0,243,91,41,183,77,15,184,109,8,15,6,4,0,1
Iowa,86,408,0,0,0,126,115,21,168,112,14,154,95,6,9,7,2,2,0
Nebraska,91,510,0,0,0,159,109,27,255,142,21,82,73,3,10,4,2,0,0
Tennessee,108,510,0,1,34,162,83,27,171,117,14,259,76,11,9,3,2,4,1
Oklahoma,159,510,0,0,0,198,107,33,195,91,16,213,120,9,16,7,4,5,0
North Dakota,136,510,1,0,0,256,90,43,230,104,19,143,82,6,9,10,2,3,0
North Carolina,45,408,0,1,38,196,92,33,254,108,21,261,85,11,7,2,2,1,0
Minnesota,122,415,0,0,0,140,120,23,231,128,19,188,127,8,11,5,3,2,0
Minnesota,138,415,0,0,0,194,83,33,189,97,16,232,102,10,9,3,2,5,0
Massachusetts,132,415,0,0,0,117,66,19,214,108,18,239,94,10,8,5,2,1,0
Georgia,58,510,0,0,0,243,105,41,231,108,19,180,120,8,7,4,2,2,0
Nevada,81,415,0,0,0,145,132,24,129,91,10,186,109,8,5,4,1,1,0
Texas,87,415,0,0,0,169,105,28,169,102,14,244,106,11,9,10,2,3,0
Maine,116,510,0,0,0,229,93,38,184,111,15,168,91,7,8,3,2,2,0
Minnesota,62,510,0,1,33,186,84,31,201,136,17,286,103,12,11,3,3,2,1
Tennessee,98,415,0,0,0,162,65,27,185,109,15,219,104,9,6,3,1,2,0
Rhode Island,107,510,1,0,0,194,83,33,247,84,21,245,93,11,11,7,3,2,0
North Carolina,30,510,0,0,0,145,76,24,240,112,20,197,134,8,7,4,1,3,0
Massachusetts,40,408,0,1,31,224,69,38,134,81,11,120,104,5,7,5,2,1,1
Tennessee,72,408,0,0,0,147,79,24,162,103,13,162,80,7,10,4,2,1,0
Wyoming,95,415,0,1,39,260,130,44,213,111,18,195,97,8,10,5,2,1,0
Indiana,86,415,0,0,0,166,112,28,255,81,21,228,97,10,5,7,1,1,0
Florida,55,510,0,1,45,130,114,22,208,94,17,141,114,6,11,5,2,4,1
Montana,74,415,0,0,0,162,102,27,292,105,24,183,80,8,8,6,2,0,0
North Dakota,81,408,1,1,37,237,76,40,264,125,22,271,120,12,7,3,2,1,0
Michigan,81,408,0,0,0,166,102,28,217,112,18,220,68,9,13,2,3,4,0
Montana,28,415,0,0,0,121,48,20,125,112,10,261,122,11,8,2,2,6,1
Alabama,111,510,0,0,0,176,62,29,201,124,17,150,138,6,11,2,3,0,0
Nevada,3,510,0,1,27,67,116,11,244,78,20,281,93,12,11,2,3,2,0
Florida,68,415,0,1,24,176,118,29,277,116,23,174,71,7,14,7,3,1,0
New York,163,408,0,0,0,247,77,42,269,108,22,167,82,7,9,7,2,0,1
Kansas,87,510,0,0,0,115,90,19,262,68,22,245,69,11,13,5,3,2,0
North Carolina,58,510,0,0,0,112,95,19,209,108,17,260,78,11,13,1,3,0,1
Minnesota,109,408,0,0,0,162,138,27,154,109,13,209,118,9,11,4,3,0,0
Rhode Island,111,415,0,0,0,229,107,39,214,99,18,289,95,13,10,6,2,4,0
Utah,144,415,0,0,0,139,96,23,124,93,10,95,75,4,15,4,4,2,0
Oregon,135,415,0,0,0,263,66,44,251,116,21,200,112,9,8,2,2,5,1
South Carolina,109,415,0,1,46,217,123,36,233,84,19,163,99,7,9,3,2,4,0
Illinois,107,415,0,1,14,114,132,19,199,91,16,194,74,8,7,8,2,1,0
Ohio,149,408,0,0,0,196,108,33,136,96,11,154,87,6,7,3,2,2,0
Massachusetts,56,510,0,0,0,253,95,43,188,116,15,142,133,6,4,4,1,1,0
Oregon,129,408,0,0,0,98,99,16,240,62,20,254,123,11,10,4,2,0,0
California,92,408,0,0,0,249,118,42,211,95,17,169,116,7,9,3,2,0,0
West Virginia,67,415,0,1,30,129,107,22,233,104,19,297,93,13,14,5,3,1,0
Vermont,120,415,0,0,0,221,106,37,267,98,22,111,80,5,9,7,2,0,0
Georgia,76,408,0,0,0,203,61,34,161,127,13,175,97,7,8,3,2,0,0
Hawaii,98,415,0,1,31,181,112,30,220,100,18,236,121,10,12,4,3,2,0
Arizona,141,510,0,1,22,215,123,36,328,98,27,160,89,7,7,6,2,1,0
Iowa,46,510,0,0,0,199,111,33,175,83,14,210,84,9,10,2,2,3,0
Connecticut,137,415,0,0,0,115,130,19,137,83,11,224,61,10,7,4,1,3,0
Washington,171,408,0,0,0,270,69,45,230,112,19,136,111,6,9,5,2,1,1
Virginia,10,415,0,0,0,222,127,37,153,125,13,227,80,10,12,4,3,1,0
Colorado,88,510,0,0,0,61,78,10,262,114,22,212,110,9,8,2,2,3,0
Texas,82,415,0,0,0,189,81,32,184,117,15,255,83,11,10,5,2,3,1
South Dakota,139,510,0,0,0,196,135,33,186,146,15,153,92,6,9,1,2,3,0
Virginia,87,415,0,0,0,171,119,29,205,107,17,170,114,7,13,4,3,0,0
New York,137,415,1,0,0,174,123,29,161,115,13,260,98,11,11,3,3,2,0
Washington,45,510,0,0,0,78,106,13,187,110,15,184,111,8,7,5,2,1,1
Tennessee,103,415,0,0,0,141,123,24,253,87,21,215,96,9,6,2,1,1,0
Washington,110,510,0,0,0,185,100,31,165,88,14,111,104,5,6,4,1,3,0
New Hampshire,124,415,0,0,0,254,113,43,78,104,6,153,69,6,11,2,3,2,0
Montana,10,510,0,0,0,183,103,31,214,77,18,206,73,9,8,6,2,2,0
Washington,121,408,0,0,0,207,98,35,210,96,17,109,114,4,7,2,2,2,0
Wisconsin,101,415,0,0,0,248,102,42,174,93,14,207,86,9,6,3,1,3,0
Arkansas,103,415,0,1,31,185,105,31,197,126,16,147,110,6,14,4,3,2,0
Wisconsin,51,408,0,0,0,197,60,33,221,64,18,168,134,7,8,5,2,1,0
Delaware,2,415,1,0,0,132,42,22,138,88,11,192,119,8,9,1,2,2,1
New Hampshire,111,510,0,0,0,197,117,33,227,128,19,214,101,9,9,11,2,0,0
Virginia,118,415,0,0,0,154,112,26,184,105,15,217,102,9,12,5,3,2,0
Tennessee,17,510,0,1,31,153,115,26,185,59,15,224,102,10,10,1,2,6,1
Virginia,130,408,0,0,0,211,119,35,231,120,19,220,80,9,6,9,1,2,0
Arizona,137,415,0,0,0,141,91,23,147,100,12,254,75,11,8,7,2,2,0
Montana,185,408,0,1,29,151,121,25,244,88,20,154,91,6,13,2,3,2,0
Oklahoma,101,408,0,0,0,209,107,35,228,96,19,172,85,7,7,2,2,3,0
Idaho,95,415,0,1,32,247,109,41,125,91,10,226,90,10,10,4,2,3,0
Kansas,126,408,0,0,0,321,99,54,167,93,14,193,106,8,8,4,2,1,1
Mississippi,124,415,0,0,0,251,85,42,214,98,18,186,71,8,11,6,3,3,0
Wyoming,97,510,1,0,0,236,107,40,157,105,13,241,120,10,7,2,1,0,1
Texas,28,415,0,0,0,159,79,27,216,131,18,206,116,9,9,3,2,2,0
Washington,90,415,1,0,0,148,96,25,220,111,18,134,97,6,9,1,2,4,1
Hawaii,190,408,0,0,0,150,86,25,268,129,22,179,73,8,14,1,3,1,0
Alaska,52,415,0,1,24,170,71,29,201,80,17,159,124,7,4,5,1,2,0
Maryland,73,510,0,0,0,254,80,43,90,79,7,153,60,6,10,8,2,0,0
Pennsylvania,106,408,1,0,0,133,45,22,187,107,15,181,89,8,10,2,2,1,1
North Carolina,111,408,0,0,0,224,117,38,191,127,16,229,97,10,10,3,2,0,0
Vermont,59,408,0,0,0,151,98,25,209,92,17,266,86,12,11,5,3,1,0
Kentucky,71,510,0,1,22,141,107,24,163,105,13,220,99,9,5,3,1,2,0
Washington,55,408,0,0,0,285,124,48,230,106,19,230,140,10,14,7,4,0,1
Louisiana,13,415,0,0,0,58,121,9,262,64,22,159,115,7,11,5,3,1,0
Washington,136,415,0,1,16,90,105,15,201,109,17,227,115,10,13,4,3,0,0
Maine,123,408,0,0,0,114,91,19,216,123,18,250,102,11,11,3,2,0,0
Wisconsin,105,408,0,0,0,147,103,25,222,78,18,163,102,7,12,3,3,2,0
Texas,50,408,0,1,31,302,93,51,240,119,20,193,103,8,13,14,3,3,0
Iowa,118,415,0,0,0,136,120,23,204,103,17,228,90,10,11,4,3,1,0
Vermont,73,415,0,0,0,217,91,37,220,97,18,277,89,12,10,6,2,1,1
Hawaii,35,415,0,0,0,124,102,21,123,115,10,135,100,6,13,8,3,2,0
Wyoming,64,415,0,0,0,206,76,35,232,76,19,251,96,11,13,2,3,1,0
West Virginia,63,510,0,0,0,132,122,22,67,62,5,160,121,7,9,2,2,3,0
Oklahoma,117,415,0,1,31,104,115,17,237,125,20,263,104,11,7,6,2,3,0
Connecticut,115,415,0,0,0,245,97,41,250,75,21,270,124,12,13,8,3,1,1
Utah,162,408,0,0,0,184,118,31,224,95,19,180,82,8,11,3,3,1,0
New York,89,415,0,0,0,89,66,15,179,104,15,225,116,10,12,1,3,3,0
Virginia,94,415,1,0,0,235,131,40,194,107,16,170,93,7,8,4,2,1,0
Vermont,129,408,0,0,0,186,127,31,262,96,22,98,63,4,11,6,3,4,0
Pennsylvania,96,510,0,0,0,179,125,30,162,139,13,264,133,11,6,2,1,1,0
South Carolina,108,415,0,0,0,112,105,19,193,110,16,208,93,9,4,4,1,4,1
Michigan,97,408,0,1,32,168,129,28,225,97,19,191,95,8,8,7,2,0,0
Vermont,84,415,0,1,42,214,112,36,188,107,16,333,117,15,11,10,3,0,0
Ohio,65,415,0,0,0,245,139,41,241,113,20,285,117,12,4,5,1,4,1
Vermont,131,415,0,1,34,156,134,26,71,95,6,261,120,11,13,10,3,1,0
Illinois,58,415,1,1,43,142,96,24,272,100,23,193,105,8,8,4,2,1,0
Wisconsin,54,415,0,0,0,116,119,19,123,123,10,217,101,9,12,2,3,1,0
Georgia,125,415,0,1,39,236,107,40,289,110,24,175,107,7,9,4,2,2,0
Vermont,72,415,0,1,21,138,113,23,260,83,22,135,118,6,8,2,2,2,0
Connecticut,141,408,0,0,0,51,108,8,162,83,13,223,115,10,10,3,2,3,0
Arizona,113,510,0,0,0,81,116,13,220,124,18,235,113,10,8,3,2,0,0
South Dakota,20,415,0,1,35,171,98,29,153,127,13,165,125,7,7,3,1,0,0
Indiana,99,415,1,0,0,197,127,33,156,92,13,204,99,9,9,6,2,4,0
Ohio,94,510,0,0,0,194,62,33,227,54,19,190,115,8,15,4,4,1,0
New York,40,510,0,0,0,115,105,19,127,113,10,107,91,4,9,6,2,1,0
Nebraska,86,510,0,1,29,157,118,26,196,136,16,226,109,10,8,5,2,3,0
Oklahoma,101,415,0,0,0,269,85,45,207,86,17,214,107,9,4,15,1,3,1
Hawaii,105,510,0,0,0,227,121,38,268,89,22,143,82,6,13,4,3,1,0
Maryland,140,415,1,1,27,188,124,32,160,102,13,197,100,8,11,5,3,4,0
Texas,98,408,0,1,19,110,87,18,227,97,19,243,84,10,11,4,2,1,0
Arizona,104,408,0,0,0,167,116,28,219,112,18,215,94,9,11,2,3,4,0
Virginia,115,415,0,0,0,132,90,22,197,75,16,175,114,7,0,0,0,3,0
Nebraska,70,415,0,0,0,213,86,36,204,77,17,256,101,11,5,4,1,1,0
Kentucky,126,510,0,0,0,175,120,29,98,71,8,201,93,9,10,1,2,0,0
Nevada,87,510,0,1,39,82,113,14,224,63,19,163,88,7,9,1,2,3,0
Missouri,86,415,0,0,0,125,139,21,269,93,22,235,110,10,8,8,2,1,0
New Jersey,1,415,0,1,30,183,95,31,232,110,19,248,110,11,8,2,2,0,0
New Hampshire,133,408,0,0,0,162,91,27,212,94,18,260,78,11,12,5,3,1,0
North Carolina,103,510,0,0,0,166,84,28,192,91,16,167,115,7,7,6,2,1,0
Montana,131,415,0,1,24,135,60,23,233,78,19,210,121,9,9,4,2,1,0
Louisiana,99,510,0,0,0,142,89,24,204,95,17,203,114,9,9,1,2,0,0
Nevada,27,510,0,0,0,177,121,30,296,92,25,192,106,8,7,3,2,3,0
Alaska,141,408,0,0,0,83,74,14,190,104,16,150,79,6,10,7,2,1,0
Ohio,29,415,1,1,37,235,101,39,183,79,15,139,106,6,5,7,1,2,0
New Mexico,65,415,0,0,0,105,95,17,141,100,12,180,105,8,6,12,1,2,0
Michigan,81,415,1,0,0,149,68,25,171,98,14,214,97,9,17,3,4,3,1
Minnesota,37,415,0,1,20,264,81,45,216,110,18,210,102,9,10,7,2,0,0
Wyoming,107,510,0,1,31,160,45,27,221,70,18,261,109,11,5,1,1,1,0
Wyoming,127,415,1,1,28,95,117,16,159,131,13,152,132,6,10,3,2,1,0
Washington,78,408,0,0,0,140,77,23,195,114,16,252,107,11,11,5,3,0,0
Rhode Island,176,415,0,0,0,250,108,42,171,100,14,148,85,6,9,6,2,2,0
Alabama,96,415,1,0,0,200,117,34,289,120,24,98,95,4,11,5,3,2,0
West Virginia,11,510,0,1,38,209,130,35,196,84,16,233,79,10,7,7,1,1,0
West Virginia,48,415,0,1,34,198,70,33,273,121,23,217,71,9,7,4,2,1,0
Utah,47,408,0,1,37,112,150,19,243,97,20,178,112,8,13,6,3,2,0
Illinois,89,415,1,1,19,112,114,19,261,132,22,123,116,5,11,2,3,0,1
Michigan,83,510,0,1,26,226,117,38,234,97,19,133,82,6,10,7,2,1,0
Wisconsin,126,415,1,1,34,244,118,41,219,105,18,210,136,9,9,6,2,4,0
North Dakota,60,510,0,0,0,203,99,34,235,131,20,224,112,10,15,6,4,2,0
Vermont,122,415,0,0,0,136,115,23,243,137,20,188,110,8,8,4,2,0,0
Washington,136,408,0,0,0,152,97,25,208,85,17,119,99,5,5,10,1,1,0
North Carolina,172,408,0,1,47,274,102,46,186,118,15,245,123,11,8,2,2,1,0
Maine,102,510,0,0,0,195,116,33,209,87,17,201,73,9,8,3,2,1,1
South Dakota,113,415,1,0,0,204,82,34,188,115,16,139,97,6,9,7,2,1,0
West Virginia,79,415,0,0,0,222,99,37,146,82,12,275,82,12,8,4,2,3,0
Georgia,160,415,0,0,0,174,105,29,171,107,14,220,131,9,8,2,2,0,0
Florida,110,415,0,0,0,242,110,41,162,140,13,184,86,8,7,3,2,4,0
Colorado,192,415,0,0,0,221,101,37,285,50,24,167,83,7,12,6,3,4,0
Nevada,93,408,0,0,0,114,100,19,221,103,18,126,88,5,10,9,2,0,0
Indiana,101,415,0,1,33,219,137,37,186,94,15,184,113,8,9,2,2,2,0
Virginia,77,510,0,0,0,144,136,24,151,115,12,252,73,11,12,3,3,2,0
Utah,105,415,0,1,40,236,111,40,117,110,9,221,115,9,8,3,2,2,0
Utah,133,408,0,1,44,174,80,29,209,113,17,224,87,10,14,7,3,2,1
Missouri,131,408,0,0,0,109,95,18,332,48,28,258,108,11,6,7,1,1,0
Connecticut,106,510,0,1,33,81,120,13,235,85,20,150,113,6,9,4,2,1,0
Hawaii,118,415,0,0,0,133,113,22,121,92,10,254,129,11,5,4,1,1,0
Maryland,125,408,0,0,0,137,94,23,209,83,17,238,114,10,8,4,2,1,0
Virginia,95,415,0,0,0,197,88,33,190,68,16,211,104,9,16,8,4,0,0
Montana,80,415,0,0,0,198,160,33,156,87,13,182,76,8,9,3,2,3,0
South Carolina,145,408,0,0,0,39,78,6,264,106,22,185,90,8,10,6,2,0,0
Colorado,37,408,0,0,0,199,107,33,207,110,17,83,123,3,8,4,2,2,0
Idaho,87,415,0,0,0,156,93,26,215,68,18,223,77,10,7,6,2,1,0
Alabama,69,415,0,0,0,183,85,31,237,100,20,228,94,10,9,5,2,3,0
Colorado,83,510,0,0,0,132,120,22,121,101,10,197,84,8,8,2,2,1,0
Utah,195,415,0,0,0,63,108,10,220,88,18,184,99,8,5,3,1,0,0
Delaware,67,415,1,1,35,181,59,30,215,116,18,216,106,9,16,4,4,0,1
Ohio,75,510,0,1,27,117,102,19,206,127,17,194,114,8,4,7,1,3,0
Rhode Island,123,415,0,1,27,218,79,37,163,78,13,173,116,7,15,1,4,0,0
Florida,41,415,0,1,41,207,95,35,137,120,11,115,74,5,5,3,1,1,0
Ohio,75,415,0,0,0,150,99,25,301,83,25,158,104,7,8,5,2,0,0
Maryland,76,415,1,0,0,273,66,46,263,121,22,165,84,7,12,7,3,1,1
Illinois,86,415,1,0,0,266,120,45,182,92,15,206,103,9,10,4,2,1,0
Pennsylvania,140,408,0,0,0,112,89,19,156,65,13,249,85,11,16,6,4,0,0
Arizona,70,415,0,0,0,104,112,17,82,104,6,169,110,7,15,7,4,3,0
Hawaii,118,415,0,0,0,253,122,43,201,78,17,195,108,8,9,7,2,2,0
New Jersey,66,415,0,1,16,174,92,29,232,105,19,305,98,13,8,2,2,1,0
Wisconsin,78,408,0,0,0,87,102,14,193,64,16,205,120,9,11,5,2,0,0
Maryland,129,415,0,1,34,204,79,34,132,113,11,190,117,8,14,9,4,2,0
Oregon,6,408,0,0,0,226,93,38,152,122,12,164,98,7,9,4,2,3,0
